,text,rythm,rythm_tok,ipa,pos
0,"['o lady judith spröder schatz', 'drückt dich zu fest mein arm', 'je zwei zu pferd haben schlechten platz', 'und winternacht weht nicht warm']","[[0.5, 1, 0, 1, 0, 1, 0, 1], [1, 0.5, 0, 1, 0, 1], [1, 0.5, 0.5, 1, 1, 0, 1, 0, 1], [0, 1, 0, 0.5, 1, 0, 1]]","[[[0.5], [1, 0], [1, 0], [1, 0], [1]], [[1], [0.5], [0], [1], [0], [1]], [[1], [0.5], [0.5], [1], [1, 0], [1, 0], [1]], [[0], [1, 0, 0.5], [1], [0], [1]]]","[['o', 'ˈlɛɪdi', 'ˈjudɪt', 'ˈʃpʁødɐ', 'ʃats'], ['dʁʏkt', 'dɪç', 'tsu', 'fɛst', 'maɪn', 'aʁm'], ['je', 'tsvaɪ', 'tsu', 'pfeɐt', 'ˈhabɛn', 'ˈʃlɛçtɛn', 'plats'], ['ʊnt', 'ˈvɪntɐˌnaxt', 'vet', 'nɪçt', 'vaʁm']]","[['PROPN', 'PROPN', 'PROPN', 'ADJ', 'NOUN'], ['VERB', 'PRON', 'PART', 'ADV', 'DET', 'ADV'], ['ADV', 'NUM', 'ADP', 'NOUN', 'AUX', 'ADJ', 'NOUN'], ['CCONJ', 'NOUN', 'VERB', 'PART', 'ADV']]"
1,"['hart ist der sitz und knapp und schmal', 'und kalt mein kleid von erz', 'doch kälter und härter als sattel und stahl', 'war gegen mich dein herz']","[[1, 0.5, 0, 1, 0, 1, 0, 1], [0, 1, 0, 1, 0.5, 0.5], [1, 1, 0, 0, 1, 0, 0.5, 1, 0, 0, 1], [0.5, 1, 0, 0.5, 0, 1]]","[[[1], [0.5], [0], [1], [0], [1], [0], [1]], [[0], [1], [0], [1], [0.5], [0.5]], [[1], [1, 0], [0], [1, 0], [0.5], [1, 0], [0], [1]], [[0.5], [1, 0], [0.5], [0], [1]]]","[['haʁt', 'ɪst', 'deɐ', 'zɪts', 'ʊnt', 'knap', 'ʊnt', 'ʃmal'], ['ʊnt', 'kalt', 'maɪn', 'klaɪt', 'fɔn', 'eɐts'], ['dɔx', 'ˈkɛltɐ', 'ʊnt', 'ˈhɛʁtɐ', 'als', 'ˈzatɛl', 'ʊnt', 'ʃtal'], ['vaɐ', 'ˈɡeɡɛn', 'mɪç', 'daɪn', 'hɛʁts']]","[['ADV', 'AUX', 'DET', 'NOUN', 'CCONJ', 'ADV', 'CCONJ', 'ADV'], ['CCONJ', 'ADV', 'DET', 'NOUN', 'ADP', 'PROPN'], ['ADV', 'ADV', 'CCONJ', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'VERB'], ['AUX', 'ADP', 'PRON', 'DET', 'NOUN']]"
2,"['sechs nächte lag ich in sumpf und moor', 'und hab um dich gewacht', 'doch weicher bei sankt görg ichs schwor', 'schlaf ich die siebente nacht']","[[0.5, 1, 0, 1, 0.5, 0.5, 0.5, 0, 0.5], [0, 0.5, 0.5, 0.5, 0, 1], [0, 1, 0, 0.5, 0.5, 0.5, 0.5, 1], [1, 0.5, 0, 1, 0, 0, 1]]","[[[0.5], [1, 0], [1], [0.5], [0.5], [0.5], [0], [0.5]], [[0], [0.5], [0.5], [0.5], [0, 1]], [[0], [1, 0], [0.5], [0.5], [0.5], [0.5], [1]], [[1], [0.5], [0], [1, 0, 0], [1]]]","[['zɛks', 'ˈnɛçtə', 'lak', 'ɪç', 'ɪn', 'zʊmpf', 'ʊnt', 'moɐ'], ['ʊnt', 'hap', 'ʊm', 'dɪç', 'ɡəˈvaxt'], ['dɔx', 'ˈvaɪçɐ', 'baɪ', 'zaŋkt', 'ɡœʁk', 'ɪçs', 'ʃvoɐ'], ['ʃlaf', 'ɪç', 'di', 'ˈzibɛntə', 'naxt']]","[['NUM', 'NOUN', 'VERB', 'PRON', 'ADP', 'PROPN', 'CCONJ', 'PROPN'], ['CCONJ', 'AUX', 'ADP', 'PRON', 'VERB'], ['CCONJ', 'ADV', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'VERB'], ['VERB', 'PRON', 'DET', 'ADJ', 'NOUN']]"
3,"['liebe mutter heut nacht heulte regen und wind', 'ist heute der erste mai liebes kind']","[[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1], [0.5, 1, 0, 0, 1, 0, 1, 1, 0, 1]]","[[[1, 0], [1, 0], [1], [1], [1, 0], [1, 0], [0], [1]], [[0.5], [1, 0], [0], [1, 0], [1], [1, 0], [1]]]","[['ˈlibə', 'ˈmʊtɐ', 'hɔɪt', 'naxt', 'ˈhɔɪltə', 'ˈʁeɡɛn', 'ʊnt', 'vɪnt'], ['ɪst', 'ˈhɔɪtə', 'deɐ', 'ˈeɐstə', 'maɪ', 'ˈlibəs', 'kɪnt']]","[['ADJ', 'NOUN', 'ADV', 'NOUN', 'VERB', 'NOUN', 'CCONJ', 'NOUN'], ['AUX', 'ADV', 'DET', 'ADJ', 'NOUN', 'PROPN', 'NOUN']]"
4,"['liebe mutter es donnerte auf dem brocken droben', 'liebes kind es waren die hexen oben']","[[1, 0, 1, 0, 0.5, 1, 0, 0, 0.5, 0, 1, 0, 1, 0], [1, 0, 1, 0.5, 1, 0, 0, 0, 1, 1, 0]]","[[[1, 0], [1, 0], [0.5], [1, 0, 0], [0.5], [0], [1, 0], [1, 0]], [[1, 0], [1], [0.5], [1, 0], [0], [0, 1], [1, 0]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɛs', 'ˈdɔnɐtə', 'aʊf', 'dem', 'ˈbʁɔkɛn', 'ˈdʁobɛn'], ['ˈlibəs', 'kɪnt', 'ɛs', 'ˈvaʁən', 'di', 'hɛˈksen', 'ˈobɛn']]","[['ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADV'], ['ADJ', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'ADV']]"
5,"['liebe mutter ich möcht keine hexen sehn', 'liebes kind es ist wohl schon oft geschehn']","[[1, 0, 1, 0, 0.5, 0.5, 1, 0, 0, 1, 1], [1, 0, 1, 0.5, 0.5, 1, 1, 1, 0, 1]]","[[[1, 0], [1, 0], [0.5], [0.5], [1, 0], [0, 1], [1]], [[1, 0], [1], [0.5], [0.5], [1], [1], [1], [0, 1]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɪç', 'mœçt', 'ˈkaɪnə', 'hɛˈksen', 'zen'], ['ˈlibəs', 'kɪnt', 'ɛs', 'ɪst', 'vol', 'ʃon', 'ɔft', 'ɡəˈʃen']]","[['ADJ', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'NOUN'], ['ADJ', 'NOUN', 'PRON', 'AUX', 'ADV', 'ADV', 'ADV', 'ADV']]"
6,"['liebe mutter ob wohl im dorf hexen sind', 'sie sind dir wohl näher mein liebes kind']","[[1, 0, 1, 0, 0.5, 1, 0.5, 0.5, 0, 1, 0.5], [0.5, 0.5, 0.5, 1, 1, 0, 1, 0, 1]]","[[[1, 0], [1, 0], [0.5], [1], [0.5], [0.5], [0, 1], [0.5]], [[0.5], [0.5], [0.5], [1], [1], [0], [1, 0], [1]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɔp', 'vol', 'ɪm', 'dɔʁf', 'hɛˈksen', 'zɪnt'], ['zi', 'zɪnt', 'diɐ', 'vol', 'ˈnɛɐ', 'maɪn', 'ˈlibəs', 'kɪnt']]","[['ADJ', 'NOUN', 'SCONJ', 'ADV', 'ADP', 'PROPN', 'NOUN', 'AUX'], ['PRON', 'AUX', 'PRON', 'ADV', 'ADV', 'DET', 'ADJ', 'NOUN']]"
7,"['liebe mutter worauf fliegen die hexen zum berg', 'liebes kind auf dem rauche von heissem werg']","[[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0.5, 1], [1, 0, 1, 0.5, 0, 1, 0, 0.5, 1, 0, 0.5]]","[[[1, 0], [1, 0], [0, 1], [1, 0], [0], [0, 1], [0.5], [1]], [[1, 0], [1], [0.5], [0], [1, 0], [0.5], [1, 0], [0.5]]]","[['ˈlibə', 'ˈmʊtɐ', 'voˈʁaʊf', 'ˈfliɡɛn', 'di', 'hɛˈksen', 'tsʊm', 'bɛʁk'], ['ˈlibəs', 'kɪnt', 'aʊf', 'dem', 'ˈʁaʊxə', 'fɔn', 'ˈhaɪsɛm', 'vɛʁk']]","[['ADJ', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], ['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN']]"
8,"['liebe mutter worauf reiten die hexen zum spiel', 'liebes kind sie reiten aufnem besenstiel']","[[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0.5, 1], [1, 0, 1, 0.5, 1, 0, 1, 0, 1, 0, 0.5]]","[[[1, 0], [1, 0], [0, 1], [1, 0], [0], [0, 1], [0.5], [1]], [[1, 0], [1], [0.5], [1, 0], [1, 0], [1, 0, 0.5]]]","[['ˈlibə', 'ˈmʊtɐ', 'voˈʁaʊf', 'ˈʁaɪtɛn', 'di', 'hɛˈksen', 'tsʊm', 'ʃpil'], ['ˈlibəs', 'kɪnt', 'zi', 'ˈʁaɪtɛn', 'ˈaʊfnem', 'ˈbezɛnˌʃtil']]","[['ADJ', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], ['ADJ', 'NOUN', 'PRON', 'VERB', 'ADJ', 'NOUN']]"
9,"['liebe mutter ich sah gestern im dorf viel besen', 'es sind auch viel hexen aufm brocken gewesen']","[[1, 0, 1, 0, 0.5, 1, 1, 0, 0.5, 1, 0, 1, 0], [0.5, 0.5, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]]","[[[1, 0], [1, 0], [0.5], [1], [1, 0], [0.5], [1], [0], [1, 0]], [[0.5], [0.5], [1], [0], [0, 1], [1], [1, 0], [0, 1, 0]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɪç', 'za', 'ˈɡɛstɐn', 'ɪm', 'dɔʁf', 'fil', 'ˈbezɛn'], ['ɛs', 'zɪnt', 'aʊx', 'fil', 'hɛˈksen', 'ˈaʊfm', 'ˈbʁɔkɛn', 'ɡəˈvezɛn']]","[['ADJ', 'NOUN', 'PRON', 'VERB', 'ADV', 'ADP', 'NOUN', 'DET', 'NOUN'], ['PRON', 'AUX', 'ADV', 'DET', 'NOUN', 'PROPN', 'NOUN', 'AUX']]"
